ID_Imovel,Tipo_Imovel,Cidade,Bairro,Area_m2,Num_Quartos,Num_Banheiros,Aluguel_Mensal,Disponivel
IMV-0001,Casa,Porto Alegre,Zona Oeste,224,1,2,627.28,Sim
IMV-0002,Estúdio,São Paulo,Centro,149,2,1,2900.75,Não
IMV-0003,Casa,Rio de Janeiro,Zona Norte,112,2,1,3386.6,Não
IMV-0004,Casa,Porto Alegre,Zona Oeste,265,4,2,2313.68,Sim
IMV-0005,Apartamento,Rio de Janeiro,Zona Sul,198,3,1,3488.91,Não
IMV-0006,Apartamento,São Paulo,Zona Norte,96,4,2,4523.81,Sim
IMV-0007,Estúdio,Belo Horizonte,Zona Oeste,91,1,2,1506.38,Não
IMV-0008,Casa,Salvador,Centro,128,2,1,3701.36,Sim
IMV-0009,Apartamento,Rio de Janeiro,Zona Sul,149,1,1,2011.52,Sim
IMV-0010,Estúdio,São Paulo,Zona Leste,238,4,2,2303.02,Não
IMV-0011,Estúdio,São Paulo,Zona Norte,86,3,1,2107.98,Sim
IMV-0012,Apartamento,São Paulo,Zona Sul,267,4,1,4537.05,Não
IMV-0013,Estúdio,Salvador,Zona Leste,60,1,2,3904.69,Sim
IMV-0014,Apartamento,Rio de Janeiro,Zona Leste,192,3,2,2210.76,Não
IMV-0015,Casa,Salvador,Zona Leste,129,1,1,792.81,Sim
IMV-0016,Estúdio,Salvador,Zona Norte,72,2,1,4078.0,Sim
IMV-0017,Apartamento,São Paulo,Zona Sul,149,4,2,1823.61,Não
IMV-0018,Casa,Salvador,Zona Leste,155,4,1,1841.19,Não
IMV-0019,Casa,Salvador,Zona Sul,184,4,1,3627.91,Sim
IMV-0020,Apartamento,Rio de Janeiro,Zona Leste,209,1,1,3227.1,Não
IMV-0021,Apartamento,Salvador,Zona Oeste,253,4,2,2163.71,Não
IMV-0022,Apartamento,Salvador,Centro,195,1,2,1481.58,Não
IMV-0023,Apartamento,Rio de Janeiro,Zona Leste,47,2,1,2036.44,Sim
IMV-0024,Apartamento,Salvador,Zona Leste,168,3,1,2003.83,Não
IMV-0025,Apartamento,Rio de Janeiro,Zona Leste,295,2,1,2002.41,Não
IMV-0026,Apartamento,Rio de Janeiro,Zona Oeste,280,2,2,1350.71,Não
IMV-0027,Casa,Rio de Janeiro,Zona Sul,274,3,1,3926.34,Sim
IMV-0028,Estúdio,Salvador,Zona Leste,172,2,1,2552.93,Não
IMV-0029,Estúdio,Rio de Janeiro,Centro,226,4,2,4846.32,Não
IMV-0030,Casa,Porto Alegre,Centro,86,1,1,3403.59,Sim
IMV-0031,Apartamento,Belo Horizonte,Zona Oeste,67,4,2,3107.15,Não
IMV-0032,Estúdio,São Paulo,Centro,268,3,1,1659.25,Não
IMV-0033,Casa,Rio de Janeiro,Zona Leste,204,1,1,4655.69,Não
IMV-0034,Apartamento,Rio de Janeiro,Zona Sul,217,1,1,2381.08,Não
IMV-0035,Apartamento,Belo Horizonte,Zona Norte,54,2,2,3808.75,Não
IMV-0036,Casa,Belo Horizonte,Zona Leste,132,1,2,1962.42,Não
IMV-0037,Apartamento,Rio de Janeiro,Zona Leste,60,4,1,4719.87,Sim
IMV-0038,Casa,São Paulo,Zona Leste,145,3,2,809.93,Sim
IMV-0039,Estúdio,Salvador,Centro,129,1,1,1924.74,Não
IMV-0040,Apartamento,Porto Alegre,Zona Leste,209,2,1,2979.03,Sim
IMV-0041,Casa,Belo Horizonte,Zona Oeste,118,2,1,2161.33,Não
IMV-0042,Estúdio,Belo Horizonte,Zona Leste,226,4,2,2784.71,Sim
IMV-0043,Apartamento,Porto Alegre,Zona Sul,249,1,1,1544.82,Sim
IMV-0044,Estúdio,Rio de Janeiro,Centro,64,2,2,1427.95,Não
IMV-0045,Estúdio,Porto Alegre,Centro,274,2,1,693.88,Sim
IMV-0046,Apartamento,Belo Horizonte,Zona Oeste,191,3,2,4861.51,Sim
IMV-0047,Estúdio,Porto Alegre,Zona Sul,165,4,2,530.97,Não
IMV-0048,Apartamento,Belo Horizonte,Zona Norte,50,3,2,1042.28,Não
IMV-0049,Casa,Porto Alegre,Zona Norte,181,3,1,1738.38,Sim
IMV-0050,Estúdio,São Paulo,Zona Oeste,276,4,2,1194.56,Sim
IMV-0051,Estúdio,São Paulo,Zona Norte,123,1,2,2110.14,Sim
IMV-0052,Estúdio,Belo Horizonte,Zona Sul,73,4,2,3629.59,Sim
IMV-0053,Apartamento,Rio de Janeiro,Centro,72,1,2,1151.53,Sim
IMV-0054,Apartamento,Porto Alegre,Zona Leste,100,2,2,1561.67,Não
IMV-0055,Estúdio,São Paulo,Zona Norte,61,1,2,2379.23,Não
IMV-0056,Estúdio,Porto Alegre,Centro,81,3,2,1728.69,Não
IMV-0057,Apartamento,Belo Horizonte,Zona Oeste,133,1,2,553.13,Sim
IMV-0058,Casa,Belo Horizonte,Centro,154,3,1,2107.78,Sim
IMV-0059,Apartamento,Rio de Janeiro,Zona Norte,195,4,2,808.8,Sim
IMV-0060,Estúdio,São Paulo,Zona Leste,65,1,2,4236.63,Sim
IMV-0061,Casa,São Paulo,Zona Leste,272,1,2,4731.78,Sim
IMV-0062,Apartamento,Rio de Janeiro,Centro,252,4,2,3345.27,Sim
IMV-0063,Casa,São Paulo,Zona Sul,40,2,1,3121.71,Não
IMV-0064,Casa,Rio de Janeiro,Zona Leste,223,1,2,4175.2,Não
IMV-0065,Apartamento,São Paulo,Zona Norte,135,3,2,731.36,Não
IMV-0066,Estúdio,São Paulo,Centro,193,1,2,3795.69,Sim
IMV-0067,Casa,Salvador,Zona Sul,93,3,2,2946.11,Sim
IMV-0068,Estúdio,Porto Alegre,Zona Leste,256,2,2,2623.51,Não
IMV-0069,Casa,Salvador,Zona Norte,175,2,1,3319.62,Não
IMV-0070,Apartamento,Rio de Janeiro,Zona Leste,178,1,1,561.53,Não
IMV-0071,Casa,São Paulo,Zona Norte,149,4,1,2717.25,Sim
IMV-0072,Estúdio,São Paulo,Zona Sul,272,4,2,3247.79,Sim
IMV-0073,Apartamento,Rio de Janeiro,Zona Sul,151,2,2,1305.74,Não
IMV-0074,Apartamento,Rio de Janeiro,Zona Leste,203,2,2,1587.95,Sim
IMV-0075,Estúdio,Rio de Janeiro,Zona Norte,163,3,2,4164.03,Não
IMV-0076,Estúdio,Porto Alegre,Zona Leste,152,4,2,1879.64,Não
IMV-0077,Apartamento,Belo Horizonte,Centro,102,1,2,820.25,Não
IMV-0078,Casa,Salvador,Zona Leste,152,1,2,1562.6,Não
IMV-0079,Apartamento,Rio de Janeiro,Zona Norte,109,3,2,1530.47,Não
IMV-0080,Estúdio,Salvador,Centro,153,2,1,1179.39,Não
IMV-0081,Estúdio,São Paulo,Zona Oeste,160,2,2,1860.31,Sim
IMV-0082,Apartamento,São Paulo,Zona Leste,41,4,1,826.16,Não
IMV-0083,Apartamento,Porto Alegre,Zona Oeste,288,3,1,3750.98,Não
IMV-0084,Estúdio,Rio de Janeiro,Zona Sul,76,2,2,2583.45,Sim
IMV-0085,Casa,Porto Alegre,Zona Oeste,109,4,1,3077.19,Não
IMV-0086,Apartamento,Porto Alegre,Zona Leste,57,3,2,3159.08,Não
IMV-0087,Casa,Rio de Janeiro,Zona Oeste,153,4,2,4734.7,Sim
IMV-0088,Estúdio,Belo Horizonte,Zona Norte,187,3,2,2499.86,Sim
IMV-0089,Casa,Salvador,Centro,295,4,2,2242.54,Não
IMV-0090,Casa,São Paulo,Zona Norte,58,2,2,1160.1,Não
IMV-0091,Apartamento,Salvador,Zona Oeste,36,4,2,4891.47,Sim
IMV-0092,Casa,Porto Alegre,Zona Norte,297,2,1,3829.14,Sim
IMV-0093,Apartamento,Rio de Janeiro,Zona Oeste,90,3,1,3698.55,Não
IMV-0094,Casa,Salvador,Centro,219,4,1,838.1,Não
IMV-0095,Estúdio,São Paulo,Zona Leste,272,3,2,1175.8,Não
IMV-0096,Casa,Belo Horizonte,Zona Oeste,270,4,1,2982.56,Não
IMV-0097,Estúdio,Rio de Janeiro,Zona Oeste,250,2,1,880.72,Sim
IMV-0098,Apartamento,São Paulo,Zona Sul,148,2,1,1122.54,Sim
IMV-0099,Estúdio,São Paulo,Zona Leste,205,2,2,1319.08,Sim
IMV-0100,Apartamento,Rio de Janeiro,Zona Oeste,285,4,1,3607.48,Sim
IMV-0101,Estúdio,Belo Horizonte,Zona Sul,248,2,1,2185.5,Não
IMV-0102,Apartamento,São Paulo,Zona Leste,234,4,1,3052.44,Não
IMV-0103,Casa,Porto Alegre,Zona Oeste,129,2,1,1166.9,Sim
IMV-0104,Apartamento,São Paulo,Zona Oeste,215,2,2,4870.6,Não
IMV-0105,Estúdio,São Paulo,Zona Sul,232,4,1,4633.33,Sim
IMV-0106,Casa,Porto Alegre,Zona Oeste,168,2,1,4077.43,Sim
IMV-0107,Estúdio,Rio de Janeiro,Zona Oeste,50,3,2,2111.38,Não
IMV-0108,Estúdio,São Paulo,Zona Oeste,198,2,2,2643.09,Não
IMV-0109,Estúdio,Belo Horizonte,Centro,298,4,2,4440.8,Sim
IMV-0110,Apartamento,Belo Horizonte,Centro,38,4,1,1146.87,Não
IMV-0111,Casa,Salvador,Centro,141,3,1,2326.78,Sim
IMV-0112,Apartamento,Porto Alegre,Centro,147,4,1,3821.9,Não
IMV-0113,Casa,Rio de Janeiro,Zona Norte,163,4,1,3639.94,Sim
IMV-0114,Apartamento,Rio de Janeiro,Centro,134,4,2,2717.24,Sim
IMV-0115,Casa,Salvador,Zona Sul,122,4,2,501.66,Não
